CLE_ABONNEMENT,DATE_ENTREE_LOCAL_ABONNEMENT,DATE_SOUSCRIPTION_ABONNEMENT,DATE_RESILIATION_ABONNEMENT
GN_1180180104289701,2014-06-25,2014-07-17,
GN_1180180100362604,2022-09-19,2022-09-19,
GN_1180180102598603,1994-11-17,,
GN_1180280200700901,1992-01-01,,
GN_1180480401005402,2024-03-14,2024-03-14,
GN_1180280200968302,2023-01-10,2023-01-10,
GN_1180480400963801,2015-04-13,2015-04-15,
GN_1180480400963601,2015-04-13,2015-04-15,
GN_1180480400963501,2015-04-13,2015-04-15,
GN_1180480400963901,2015-04-13,2015-04-15,
GN_1180480400659403,2009-07-01,2011-02-09,
GN_1180380301055302,2018-08-24,2018-08-24,
GN_1180380300678702,2015-08-21,2018-08-24,
GN_1180380301114002,2016-09-16,2016-09-16,2020-10-01
GN_1180180102030701,,,
GN_1180480400998401,2019-05-06,2020-01-30,2021-03-19
GN_1180180104279901,2013-10-10,2013-10-10,
GN_1180280200968102,2023-01-10,2023-01-10,
GN_1180480400200202,2005-03-21,2005-04-11,
GN_1180480400105703,2023-09-14,2023-09-14,
GN_1180180100191902,,,
GN_1180180103447901,1993-08-01,,2023-11-21
GN_1180180102501508,2008-01-24,2008-01-24,2019-01-07
GN_1180180103614002,2014-07-24,2014-12-29,2019-03-26
GN_1180180103422402,2014-10-15,2014-12-01,2019-08-14
GN_1180180100249902,1992-07-01,,
GN_1180380300898401,,,
GN_1180180104132302,2011-09-22,2011-09-21,
GN_1180280201022001,2016-12-02,2017-03-07,2022-08-26
GN_1180180104541501,2024-05-05,2024-05-05,
GN_1180180103345904,2023-12-19,2023-12-19,
GN_1180180103921802,2018-01-01,2018-04-25,
GN_1181181100013801,1991-12-21,,
GN_1180180103753901,2002-01-09,2002-06-27,
GN_1180280200722201,1993-07-01,,2023-02-15
GN_1180180103467002,2010-06-15,2010-09-08,
GN_1180280200891401,2008-09-01,2008-09-01,
GN_1180180103572302,2015-01-01,2015-12-08,
GN_1180180103851101,2005-01-01,2005-01-01,
GN_1180380300872802,2016-08-01,2017-03-21,
GN_1180380301112802,2002-07-09,2002-07-09,2022-09-05
GN_1180780700357502,2004-01-01,2004-06-14,2019-07-25
GN_1180280200976701,2012-05-24,2012-05-24,
GN_1180180104374701,2017-01-11,2017-01-11,2021-01-15
GN_1180280200873001,2007-04-17,2007-07-24,
GN_1180280200532901,,,
GN_1180180104541701,2024-05-05,2024-05-05,
GN_1180180103466802,2010-06-15,2010-09-08,
GN_1181181100025701,2014-04-23,2014-06-10,
GN_1180280201051301,2020-09-10,2020-09-10,
GN_1180380301108901,2001-03-15,2001-05-14,
GN_1180180100030302,2010-06-15,2010-09-08,
GN_1180280201022201,2016-12-02,2017-03-07,2023-01-27
GN_1180180100082206,2020-07-21,2020-07-21,
GN_1180180104270501,2012-06-26,2012-06-26,
GN_1180180103467402,2010-06-15,2010-09-08,
GN_1180180100011706,2019-09-30,2019-09-30,
GN_1180180104302201,2014-07-01,2014-11-05,
GN_1180180104490701,2021-11-17,2021-11-17,
GN_1180280201052701,2021-02-09,2021-02-09,2021-05-07
GN_1180180104270301,2012-06-14,2012-06-14,
GN_1180380301157101,2007-01-11,2007-04-03,
GN_1180380301271402,2018-01-25,2019-02-13,2023-12-19
GN_1180380301275001,2019-09-01,2020-03-23,2020-10-12
GN_1180280200810201,2001-03-13,2001-03-13,
GN_1180380301160701,2007-03-21,2007-07-24,
GN_1180480400126413,2020-07-01,2020-07-01,2021-10-27
GN_1180180101017003,1998-06-30,,
GN_1180180104394401,2015-10-20,2018-02-08,2019-08-20
GN_1180180104394601,2015-10-20,2018-02-08,2019-05-10
GN_1180180100191703,2014-03-07,2014-03-12,2022-01-21
GN_1180180100185603,2008-02-01,2008-04-17,
GN_1180780700006704,2018-11-01,2019-01-22,2024-04-04
GN_1180180101041509,2014-07-16,2014-09-09,2020-06-08
GN_1180180100084802,2016-08-11,2016-08-25,2019-10-28
GN_1180180103845604,2014-07-16,2014-07-16,2019-03-07
GN_1183183100003202,2007-04-03,2007-04-03,2019-01-23
GN_1184184100404703,2019-01-23,2019-01-23,
GN_1180180100099204,2019-02-01,2019-02-01,2020-11-04
GN_1180180104365802,2022-05-13,2022-05-13,2023-01-30
GN_1184184100688101,2021-05-10,2021-05-10,
GN_1180180100874406,2019-01-02,2019-03-11,2019-12-04
GN_1180480400123807,2019-03-13,2019-03-13,2023-05-12
GN_1180480400441104,2006-03-15,2006-03-15,
GN_1180480400859903,2020-02-05,2020-02-05,2021-03-02
GN_1184484400059301,1994-07-01,,2021-10-12
GN_1180980900616405,2019-05-02,2019-05-06,2020-05-11
GN_1180480400491605,2020-07-01,2020-07-22,2024-07-23
GN_1180180100107706,2023-06-22,2023-06-22,2024-06-25
GN_1180280200819005,2019-06-05,2019-06-06,2022-06-22
GN_1180980900779201,2019-05-06,2019-05-06,2019-09-22
GN_1180180100016603,2019-05-01,2019-05-10,
GN_1180280200969502,2023-01-10,2023-01-10,2025-01-24
GN_1180380300583701,,,
GN_1180380301227601,2011-11-24,2011-12-14,
GN_1180380301215701,,,
GN_1180480400683703,2023-10-24,2023-10-24,
GN_1180280200968602,2023-01-10,2023-01-10,
GN_1180180101520004,2019-06-21,2019-06-24,2020-10-19
GN_1180180100800905,2005-01-01,2005-11-24,2019-10-23
GN_1180280200969102,2023-01-10,2023-01-10,
GN_1180180100028203,2022-04-22,2022-07-20,2022-07-20
GN_1180180103222405,2021-12-27,2021-12-27,2023-10-11
GN_1180180104273702,2019-07-08,2019-07-08,2023-02-14
GN_1180980900654702,2019-07-26,2019-08-07,2019-12-20
GN_1180580500222602,2010-12-27,2010-05-11,2019-09-03
GN_1180180104459301,2019-01-17,2019-01-17,
GN_1180480400004406,2018-07-28,2018-07-28,2019-12-11
GN_1184184100703801,2023-10-24,2023-10-24,2024-07-11
GN_1184184100705401,2023-10-24,2023-10-24,2024-01-05
GN_1184184100704601,2023-10-24,2023-10-24,2023-11-28
GN_1184184100663201,2019-09-17,2019-09-18,2022-08-12
GN_1184184100705001,2023-10-24,2023-10-24,2023-11-27
GN_1184184100704201,2023-10-24,2023-10-24,2023-11-28
GN_1184184100704001,2023-10-24,2023-10-24,2023-11-27
GN_1184184100704401,2023-10-24,2023-10-24,2023-11-28
GN_1184184100663101,2019-06-12,2019-09-18,2020-11-07
GN_1184184100704801,2023-10-24,2023-10-24,2024-05-14
GN_1180180104395001,2018-01-22,2018-01-22,2019-11-05
GN_1180180104395401,2018-01-15,2018-02-08,2019-09-02
GN_1180180104395201,2018-01-15,2018-01-15,2019-09-12
GN_1180180104510101,2023-05-01,2023-05-24,
GN_1180180104394801,2018-01-22,2018-01-22,2019-10-30
GN_1180180103817406,2022-03-08,2022-03-08,2024-09-24
GN_1183183100068704,2022-07-06,2022-07-06,2023-09-08
GN_1181881800158802,2002-01-01,2002-07-09,
GN_1180280200968802,2023-01-10,2023-01-10,
GN_1184184100691901,2021-09-15,2021-09-15,2022-03-22
GN_1183183100285201,2018-11-26,2019-09-30,2019-10-31
GN_1180180104538101,2024-02-06,2024-02-06,
GN_1180180102978901,,,
GN_1180280200864207,2019-10-16,2019-10-16,
GN_1180180103643105,2019-04-01,2019-10-16,2021-11-01
GN_1180980900780302,2019-10-17,2019-10-17,
GN_1180180100148201,,,
GN_1180180103569307,2019-10-18,2019-10-18,2024-01-08
GN_1180380300834005,2024-01-08,2024-01-08,
GN_1180180101582106,2019-08-01,2019-10-22,2022-03-22
GN_1180380300139202,2020-11-26,2020-11-26,2020-12-08
GN_1180180104432402,2019-10-01,2019-10-31,
GN_1180280201103801,2024-09-05,2024-09-05,
GN_1183183100077203,2022-06-15,2022-06-15,
GN_1180180102313703,2017-10-13,2017-10-17,
GN_1180180102657502,2017-10-13,2017-10-17,2021-06-30
GN_1180180102596603,2017-10-13,2017-10-17,2021-12-29
GN_1180180101843703,2017-10-13,2017-10-17,
GN_1180180100032603,2019-12-10,2020-01-10,2023-01-10
GN_1180180102924107,2019-05-02,2019-12-27,2020-01-16
GN_1180380300038307,2019-12-29,2020-01-08,
GN_1180180100362603,2022-04-13,2022-04-14,2022-09-19
GN_1180180100148403,2022-12-26,2022-12-26,2024-10-17
GN_1180180103549707,2015-12-08,2015-12-08,2023-04-06
GN_1184384300107901,2023-03-27,2023-03-27,2023-12-22
GN_1183183100243102,2020-01-30,2020-01-30,
GN_1180280201048101,2019-10-14,2019-10-14,2023-01-10
GN_1180980900654704,2022-09-29,2022-09-29,2023-01-13
GN_1184384300073102,2020-02-19,2020-02-19,
GN_1184384300073202,2020-02-19,2020-02-19,
GN_1180180104468101,2017-03-07,2020-03-06,2020-06-30
GN_1180180100099604,2019-02-05,2019-10-30,2020-03-06
GN_1180980900440309,2020-04-09,2020-04-09,
GN_1180180103792406,2020-04-28,2020-04-28,2020-09-04
GN_1184184100679101,2020-04-28,2020-04-28,2021-10-14
GN_1184484400266302,2020-10-13,2020-10-13,
GN_1180980900793901,2020-05-12,2020-05-12,2020-06-25
GN_1180980900794001,2020-05-12,2020-05-12,2020-06-25
GN_1180980900791701,2020-05-12,2020-05-12,2020-06-25
GN_1180980900790301,2020-05-12,2020-05-12,2020-06-25
GN_1180980900789801,2020-05-12,2020-05-12,2020-06-25
GN_1180980900793801,2020-05-12,2020-05-12,2020-06-25
GN_1180980900790801,2020-05-12,2020-05-12,2020-06-25
GN_1180180104471201,2020-02-25,2020-02-25,
GN_1180180104471001,2020-02-25,2020-02-25,
GN_1180180104471301,2020-02-25,2020-02-25,2020-11-16
GN_1180180103777401,2003-01-01,2003-05-23,2020-05-09
GN_1180180102175205,2020-06-09,2020-06-09,2021-10-19
GN_1180780700025601,,,2020-06-02
GN_1181881800170301,2006-01-13,2006-01-13,2020-06-16
GN_1180180104472001,2020-06-25,2020-06-25,
GN_1180380300787106,2020-07-13,2020-07-13,
GN_1180180104505502,2023-08-10,2023-08-10,
GN_1180180100028102,2020-07-16,2020-07-16,2020-12-31
GN_1180180103777402,2020-01-01,2020-07-16,2020-12-31
GN_1180280200840305,2020-07-17,2020-07-17,2022-01-13
GN_1180280201030002,2022-07-19,2022-07-19,
GN_1180180103221901,,,
GN_1180180100568807,2020-08-21,2020-08-21,
GN_1180380300430008,2020-08-24,2020-08-24,2022-07-27
GN_1180180102762518,2020-08-11,2020-08-25,
GN_1180480400506702,2021-05-21,2021-05-21,2021-08-30
GN_1183183100068705,2023-09-08,2023-09-08,
GN_1180180103418603,2020-08-31,2020-08-31,
GN_1180180101036704,2020-09-01,2020-09-01,2021-04-08
GN_1181881800217701,2023-11-27,2023-11-27,
GN_1180980900650605,2020-09-01,2020-09-11,2021-03-27
GN_1180980900797001,2020-09-24,2020-09-24,2022-05-02
GN_1180280201049901,2020-03-19,2020-03-19,2020-09-01
GN_1180180104061902,2020-09-22,2020-09-22,
GN_1184184100392003,2015-11-06,2015-11-06,
GN_1180180103967303,2020-10-01,2020-10-01,2021-03-29
GN_1180780700025603,2021-02-08,2021-02-08,
GN_1184184100651002,2017-10-06,2018-01-12,
GN_1184184100677101,2020-05-06,2020-09-09,2023-02-18
GN_1184184100682001,2020-11-19,2020-11-19,2020-11-20
GN_1180180104477801,2020-10-19,2020-11-04,2022-05-16
GN_1180180100084005,2024-06-01,2024-06-01,
GN_1184184100537902,2011-05-09,2011-05-09,2019-05-13
GN_1184184100672502,2022-06-30,2022-06-30,2023-01-17
GN_1184184100662802,2021-10-12,2021-10-12,2023-12-01
GN_1184184100683701,2020-12-03,2020-12-03,2022-12-01
GN_1180280200151102,2020-09-16,2020-09-16,
GN_1184184100662901,2019-06-12,2019-06-12,
GN_1184184100672503,2022-03-14,2022-03-14,
GN_1180180104500301,2022-10-04,2022-10-04,2022-11-08
GN_1184384300104801,2020-11-17,2020-11-17,
GN_1180180104540001,2024-03-18,2024-03-18,
GN_1180180102168006,2021-02-04,2021-02-04,2022-04-25
GN_1180680600078103,2021-09-30,2021-09-30,
GN_1180180103676206,2021-01-05,2021-01-05,
GN_1180180103676806,2021-01-05,2021-01-05,2021-10-07
GN_1180180100560403,2021-03-01,2021-03-01,2023-02-16
GN_1183383300045401,2021-01-29,2021-01-29,2024-04-16
GN_1180380300457001,,,
GN_1180280200357301,,,
GN_1180180103494007,2021-03-23,2021-03-25,2022-06-17
GN_1180280201051901,2020-08-25,2020-08-25,2021-04-12
GN_1180680600092302,2016-12-01,2016-11-25,2021-05-21
GN_1180280200825702,2018-07-30,2018-08-02,2021-01-28
GN_1180280200834904,2018-07-18,2018-07-18,2021-01-28
GN_1180380301064703,2017-02-01,2017-08-30,2021-11-08
GN_1180180103967304,2021-03-29,2021-03-29,2024-03-05
GN_1180480400829002,2024-06-11,2024-06-11,
GN_1180580500215201,2004-06-18,2004-09-06,2021-04-14
GN_1180380300805103,2020-02-27,2020-06-30,2022-03-01
GN_1180180103355307,2019-01-28,2019-02-05,2021-06-17
GN_1180280200538306,2018-09-27,2018-09-27,2021-10-22
GN_1180180100020805,2021-03-12,2021-03-12,2022-03-04
GN_1180580500240701,2020-07-27,2020-07-27,2024-09-17
GN_1180580500240301,2020-07-27,2020-07-27,2024-09-19
GN_1180580500240801,2020-07-27,2020-07-27,2024-09-17
GN_1180580500240501,2020-07-27,2020-07-27,2024-09-18
GN_1180580500240401,2020-07-27,2020-07-27,2024-09-17
GN_1180580500241001,2020-07-27,2020-07-27,2024-09-18
GN_1180580500241101,2020-07-27,2020-07-27,2024-09-17
GN_1180580500240901,2020-07-27,2020-07-27,2024-09-18
GN_1180580500241201,2020-07-27,2020-07-27,2024-09-17
GN_1180580500240201,2020-07-27,2020-07-27,2024-09-17
GN_1180580500240601,2020-07-27,2020-07-27,2024-09-18
GN_1184184100010405,2017-11-28,2017-11-28,
GN_1180180100874407,2021-04-15,2021-12-08,
GN_1184284200232201,2020-06-03,2020-06-03,2021-12-02
GN_1180180100107707,2024-06-20,2024-06-20,
GN_1180180100685305,2021-05-25,2021-05-25,2023-02-01
GN_1180280200779204,2021-06-01,2021-06-01,
GN_1180480400830202,2021-06-09,2021-06-09,2021-10-20
GN_1180180104132101,2010-11-17,2010-11-18,
GN_1180180103534508,2021-06-21,2021-06-21,
GN_1180480400562706,2021-06-21,2021-06-21,
GN_1180480400465303,2021-06-22,2021-06-22,2023-09-29
GN_1184184100691701,2021-11-18,2021-11-18,
GN_1180280200825602,2018-07-30,2018-08-02,2021-02-18
GN_1180280200825603,2021-02-18,2021-03-29,2021-05-27
GN_1180180102464205,2021-07-05,2021-07-05,
GN_1180180102101203,1995-12-21,2018-12-20,2022-06-30
GN_1180180100108010,2021-07-26,2021-07-26,2022-03-15
GN_1180380300799105,2021-09-30,2021-09-30,
GN_1180180101274802,2021-07-27,2021-07-27,2021-09-16
GN_1184484400270501,2020-12-09,2021-05-17,
GN_1180180100800906,2019-10-23,2019-10-23,2022-04-06
GN_1180280200967803,2023-12-07,2023-12-07,
GN_1184384300006206,2024-04-04,2024-04-04,2024-05-23
GN_1180180104484801,2020-12-02,2020-12-02,
GN_1180180104508501,2023-01-24,2023-01-24,2023-04-26
GN_1180180104508901,2023-01-21,2023-04-26,2023-04-26
GN_1180180104508701,2023-01-26,2023-04-26,2023-04-26
GN_1180180104508601,2023-01-24,2023-04-26,2023-04-26
GN_1180180104508801,2023-01-21,2023-04-26,2023-04-26
GN_1181181100017001,2021-10-05,2021-10-05,
GN_1180280200730402,2021-10-01,2021-10-01,
GN_1180180103676807,2021-10-07,2021-10-07,
GN_1180180103684810,2021-10-07,2021-10-07,
GN_1180180104495101,2022-02-15,2022-02-15,2023-04-12
GN_1180180104495401,2022-02-15,2022-02-15,2023-04-11
GN_1180180104495301,2022-02-15,2022-02-15,2023-04-11
GN_1180180104495201,2022-02-15,2022-02-15,2023-04-11
GN_1180180104495501,2022-02-15,2022-02-15,2023-04-11
GN_1180180104495001,2022-02-15,2022-02-15,2023-04-11
GN_1180180103679106,2021-10-08,2021-10-08,
GN_1180180104471203,2021-10-15,2021-10-15,2022-12-29
GN_1184184100642402,2021-12-07,2021-12-07,
GN_1180380301013902,2021-11-03,2021-11-03,2023-03-28
GN_1181881800202501,2021-03-01,2021-03-01,
GN_1180280200967802,2023-01-10,2023-01-10,2024-05-21
GN_1180480400967703,2022-02-03,2022-02-03,2022-07-19
GN_1180180102901201,,,2022-04-07
GN_1184184100673802,2020-06-02,2020-07-03,2020-11-20
GN_1180180103922407,2022-02-03,2022-02-03,2022-07-16
GN_1180180100166305,2022-04-07,2022-04-29,2023-04-24
GN_1180480400105702,2014-03-28,2014-03-27,2023-09-14
GN_1180180103922406,2019-11-20,2019-11-22,2022-02-03
GN_1180480400967702,2016-10-05,2016-10-05,2022-02-03
GN_1180180104469702,2021-12-03,2021-12-03,
GN_1180180103625311,2021-12-09,2021-12-09,
GN_1180180102710804,2022-09-27,2022-09-27,2024-01-25
GN_1180180100779303,2021-12-15,2021-12-15,2024-09-06
GN_1180180104538401,2024-04-09,2024-04-09,
GN_1180180101509903,2024-05-22,2024-05-22,2024-05-22
GN_1184184100193203,2019-06-19,2019-06-19,2022-02-17
GN_1180180100526406,2022-01-26,2022-01-26,
GN_1180280200840306,2022-01-13,2022-01-13,
GN_1180480401003501,2021-11-30,2021-11-30,
GN_1180180101633601,,,2023-08-30
GN_1180480401004201,2021-07-23,2021-07-23,
GN_1180480401004301,2021-07-23,2021-07-23,
GN_1180180100191704,2022-01-27,2022-01-27,
GN_1180180104494301,2022-01-12,2022-01-12,
GN_1180980900811901,2021-12-03,2021-12-03,
GN_1180180103060808,2022-04-29,2022-04-29,2022-12-21
GN_1180180100814306,2022-02-25,2022-02-25,2022-04-13
GN_1184284200244501,2022-02-25,2022-02-25,
GN_1180280200748201,1996-05-01,,
GN_1180280200921801,2011-01-20,2011-02-10,
GN_1180280200665703,2009-01-01,2009-01-01,
GN_1184184100338901,,,
GN_1180380300805104,2022-03-01,2022-03-01,2023-07-21
GN_1180180103872610,2022-03-22,2022-03-22,2024-09-06
GN_1180180101582107,2022-03-22,2022-03-22,2024-02-16
GN_1180180100310504,2023-07-18,2023-07-18,
GN_1180480400591806,2022-03-25,2022-03-25,
GN_1180380301064705,2022-03-16,2022-03-16,
GN_1184184100698502,2000-09-29,2022-09-29,
GN_1184184100386502,2022-04-26,2022-04-26,2024-05-29
GN_1180180103506604,2017-12-20,2017-12-20,2022-05-19
GN_1180180100020503,2018-06-01,2018-04-24,2023-05-04
GN_1180180103922005,2016-12-27,2016-12-27,2022-11-17
GN_1180180102415704,2018-05-15,2018-05-15,2023-05-04
GN_1180280200538307,2021-10-22,2021-11-10,2022-04-21
GN_1180180103068303,2021-02-25,2021-02-25,2022-10-13
GN_1180980900654703,2020-02-18,2020-02-18,2022-09-29
GN_1180180101918704,2023-10-05,2023-10-05,2024-07-04
GN_1180880800363301,2021-07-23,2021-07-23,2022-06-15
GN_1180480400542306,2022-09-05,,2023-12-22
GN_1180480401005201,2022-03-03,2022-05-31,
GN_1180180101035601,,,2021-10-05
GN_1180380301279901,2021-08-04,2021-08-04,2022-04-26
GN_1180180101771009,2022-06-08,2022-06-08,
GN_1180380301279902,2022-04-26,2022-06-10,2022-07-29
GN_1180680600078005,2023-10-26,2023-10-26,
GN_1180180104529601,2023-12-29,2023-12-29,
GN_1180180104529801,2023-07-05,2023-07-05,
GN_1180180103941506,2023-12-29,2023-12-29,
GN_1184384300006207,2024-06-04,2024-06-04,
GN_1184384300006204,2022-06-10,2022-06-10,2023-03-09
GN_1180980900440211,2022-07-25,2022-07-25,
GN_1184184100699101,2022-06-02,2022-06-02,2023-12-27
GN_1180180104497801,2022-06-30,2022-06-30,2024-06-11
GN_1180180104498001,2022-02-01,2022-07-01,2023-09-28
GN_1184184100582605,2022-07-01,2022-07-05,
GN_1183183100239002,2022-07-06,2022-07-06,
GN_1184184100334511,2022-07-13,2022-07-13,
GN_1180480401010001,2022-12-30,2022-12-30,2023-03-16
GN_1180480401009901,2022-12-30,2022-12-30,2023-03-16
GN_1180180100268703,2021-07-23,2022-08-16,
GN_1180280200969402,2023-01-10,2023-01-10,
GN_1180180100101804,2022-08-26,2022-08-26,2024-10-11
GN_1180480401007101,2022-02-14,2022-09-09,2023-08-24
GN_1180180104499601,2022-04-25,2022-04-25,2022-09-02
GN_1180180104499501,2022-04-27,2022-04-27,2022-09-02
GN_1180180104499701,2022-04-25,2022-04-25,2022-09-02
GN_1180980900012510,2018-10-30,2018-10-30,2023-01-28
GN_1182682600051001,2024-12-05,2024-12-05,
GN_1180180101503403,2022-09-22,2022-09-22,2023-11-28
GN_1180180102102603,1992-07-01,,
GN_1180180103529104,2022-10-13,2022-10-13,
GN_1180680600028503,2022-11-10,2022-11-10,
GN_1180180103053906,2019-10-21,2019-10-21,2023-03-24
GN_1180180104501102,2022-11-16,2022-11-16,
GN_1180180102825409,2022-05-22,,
GN_1180180102414507,2022-11-17,2022-11-17,
GN_1180180100108011,2022-07-01,2022-07-01,2024-09-26
GN_1180180100105902,2022-11-29,2022-11-29,
GN_1183183100051903,2022-12-08,2022-12-08,2024-01-12
GN_1180380300089601,,,2022-12-20
GN_1180480401009001,2022-06-01,2022-06-01,2022-12-19
GN_1184284200079101,1994-06-23,,
GN_1184184100671901,2019-06-12,2019-09-18,
GN_1184184100663001,2019-09-18,2019-09-18,
GN_1184184100671801,2019-06-12,2019-06-12,
GN_1180880800366001,2022-12-26,2022-12-26,
GN_1180880800366201,2022-12-27,2022-12-27,
GN_1180380301281301,2022-05-25,2022-05-25,2022-12-28
GN_1180380301281201,2022-05-25,2022-05-25,2022-12-28
GN_1180380300932705,2022-05-25,2022-05-25,
GN_1180280201037203,2022-12-15,2022-12-15,2023-01-06
GN_1180180103635205,2023-02-01,2023-02-01,2024-09-05
GN_1180180104505301,2023-01-25,2023-01-25,
GN_1180280200465206,2019-12-06,2019-12-06,
GN_1180180104504901,2023-01-04,2023-01-04,2024-09-18
GN_1180180104505001,2023-01-04,2023-01-04,
GN_1180180104505401,2023-01-25,2023-01-25,2023-01-30
GN_1180180104505501,2023-01-05,2023-01-05,2023-06-01
GN_1180180100113306,2023-02-02,2023-02-02,
GN_1180280200972401,2018-02-19,2018-02-19,
GN_1180180103521305,2016-06-10,2016-06-10,
GN_1180180102629601,,,
GN_1180880800365901,2022-08-25,2022-08-25,2023-03-13
GN_1180480400542308,2024-10-13,2024-10-13,
GN_1180280200887409,2023-02-14,2023-02-14,
GN_1180180102286106,2023-02-21,2023-02-21,
GN_1180180104129502,2023-03-01,2023-03-01,
GN_1180180104507801,2023-02-28,2023-03-03,
GN_1180180104507101,2023-03-03,2023-03-03,
GN_1180180104507301,2023-03-03,2023-03-03,2024-08-02
GN_1180980900817601,2022-12-07,2022-12-07,2023-05-19
GN_1180180100509710,2023-03-17,2023-03-17,
GN_1180480400428610,2023-07-01,2023-07-01,2024-12-06
GN_1180180103667801,1998-08-03,,2023-09-20
GN_1183283200108003,2015-10-22,2016-01-21,2023-11-02
GN_1180780700018803,2022-12-01,2022-12-01,2023-11-30
GN_1180180101918504,2023-10-05,2023-10-05,2024-07-04
GN_1180180104138202,2013-11-25,2013-11-25,2023-09-20
GN_1180180103241606,2019-08-29,2019-08-29,2024-04-08
GN_1180180102192003,2014-11-24,2014-11-24,2024-02-22
GN_1180180104138302,2013-11-25,2013-11-25,2023-09-20
GN_1180180104164402,2013-11-25,2013-11-25,2023-12-26
GN_1180180101054604,2003-06-04,2003-06-19,2023-09-20
GN_1180880800373001,2022-12-14,2022-12-14,2024-07-04
GN_1180280200538308,2022-05-12,2022-05-12,2023-03-22
GN_1180180103922305,2023-06-12,2023-06-12,2024-10-22
GN_1180880800373002,2024-07-04,2024-07-04,2024-07-23
GN_1180180103273205,2022-12-23,2023-01-17,2024-05-22
GN_1180180103517704,2017-09-22,2017-09-22,2024-09-19
GN_1180480400542307,2023-12-22,2023-12-22,2024-10-13
GN_1180180100085702,2008-07-15,2008-10-07,2023-02-09
GN_1180480400072101,,,2023-10-02
GN_1180180104508301,2022-11-15,2023-03-22,2023-03-22
GN_1180180104508302,2023-05-11,2023-07-03,2023-07-31
GN_1180380301295301,2024-05-29,2024-05-29,
GN_1183183100280101,2014-12-01,2015-01-14,
GN_1183183100280301,2015-01-15,2015-03-23,
GN_1180280200760903,2023-04-07,2023-04-07,2023-11-13
GN_1180280201077001,2023-01-10,2023-01-10,
GN_1180280200966802,2023-01-10,2023-01-10,
GN_1180280200968502,2023-01-10,2023-01-10,2023-12-18
GN_1184184100693601,2023-04-25,2023-04-25,
GN_1184184100693901,2023-04-25,2023-04-25,
GN_1180480400955001,2013-03-06,2013-03-11,
GN_1180180100000508,2023-05-09,2023-05-09,
GN_1180280201082501,2023-05-16,2023-05-16,
GN_1180180104528501,2023-10-11,2023-10-19,
GN_1180180104403002,2023-05-26,2023-05-26,
GN_1180180103254901,,,
GN_1180180102930605,2014-05-23,2014-05-27,2021-12-17
GN_1180980900482201,1993-09-30,,
GN_1180180101064304,2014-05-23,2014-05-27,
GN_1184484400059303,2022-08-18,2022-08-18,
GN_1180280200868201,2006-12-14,2007-03-12,
GN_1184484400060302,1996-01-01,,
GN_1180380301270401,2018-05-19,2018-07-24,
GN_1180180102035101,,,
GN_1180880800305901,2005-02-03,2005-04-15,
GN_1180280200538402,2011-01-01,2011-01-01,
GN_1180580500127802,2014-12-06,2014-12-06,
GN_1180180101503404,2023-11-28,2023-11-28,
GN_1180280200819402,2006-09-06,2007-03-12,
GN_1184484400250602,2014-07-03,2016-10-10,
GN_1180180101503402,2012-12-12,2012-12-27,2019-04-01
GN_1180280200785501,1999-07-01,1999-11-02,
GN_1183183100290701,2022-05-13,2023-03-01,
GN_1183183100290501,2022-05-13,2023-03-01,
GN_1180980900815801,2022-08-03,2022-08-03,2023-06-06
GN_1180380301235202,2023-06-01,2023-06-01,2024-08-01
GN_1180180104512901,2023-06-16,2023-06-16,
GN_1180180104520101,2023-06-19,2023-06-19,
GN_1180180104521701,2023-06-19,2023-06-19,
GN_1180180104519401,2023-06-19,2023-06-19,2025-01-10
GN_1180180104521001,2023-06-20,2023-06-20,
GN_1180180104520201,2023-06-20,2023-06-20,
GN_1180180100145004,2007-05-07,2007-05-07,
GN_1180180104521801,2023-06-26,2023-06-26,
GN_1180180104514801,2023-06-26,2023-06-26,
GN_1180180104513201,2023-06-27,2023-06-27,
GN_1180180104517201,2023-06-27,2023-06-27,
GN_1180180104048001,2009-11-01,2009-12-29,
GN_1180180104519701,2023-06-27,2023-06-27,
GN_1180180104515701,2023-06-28,2023-06-28,
GN_1180180104520501,2023-06-28,2023-06-28,
GN_1180180104522101,2023-06-28,2023-06-28,2024-08-29
GN_1180180104513501,2023-06-29,2023-06-29,
GN_1180180104514301,2023-06-29,2023-06-29,2024-03-22
GN_1184184100701902,2024-09-03,2024-09-03,
GN_1184184100701901,2023-07-05,2023-07-05,2024-08-26
GN_1182782700050801,2023-08-03,2023-08-03,2024-05-23
GN_1180180103545201,1995-04-01,,
GN_1180180104508303,2023-05-11,2023-05-11,
GN_1180380300946002,2010-10-06,2010-10-19,
GN_1180180103631501,1997-07-01,,
GN_1184184100702701,2023-03-07,2023-03-07,
GN_1180180104525601,2023-04-26,2023-04-26,2023-09-29
GN_1180580500035210,2022-01-15,2022-01-15,
GN_1181281200045802,2014-09-01,2015-10-19,
GN_1180680600087203,2015-08-17,2015-08-13,
GN_1180180103063702,2022-08-01,2022-08-01,2023-09-18
GN_1180580500215804,2009-02-12,2009-02-17,
GN_1180580500222604,2022-12-20,2022-12-20,
GN_1180280200951305,2022-01-25,2022-01-25,
GN_1180180100403709,2023-09-01,2023-09-01,
GN_1180680600087004,2017-08-16,2017-08-16,
GN_1180180103824006,2022-06-28,2022-07-01,
